SNR =  2.00, rawBER =  0.08, BLER =     1000/    1010 = 0.990099
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1019 = 0.981354
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1032 = 0.968992
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1060 = 0.943396
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1114 = 0.897666
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1179 = 0.848176
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1311 = 0.762777
SNR =  3.75, rawBER =  0.04, BLER =     1000/    1506 = 0.664011
SNR =  4.00, rawBER =  0.04, BLER =     1000/    1810 = 0.552486
SNR =  4.25, rawBER =  0.03, BLER =     1000/    2386 = 0.419111
SNR =  4.50, rawBER =  0.03, BLER =     1000/    3250 = 0.307692
