SNR =  2.00, rawBER =  0.08, BLER =     1000/    1035 = 0.966184
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1055 = 0.947867
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1106 = 0.904159
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1187 = 0.842460
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1331 = 0.751315
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1533 = 0.652316
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1924 = 0.519751
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2474 = 0.404204
SNR =  4.00, rawBER =  0.04, BLER =     1000/    3626 = 0.275786
SNR =  4.25, rawBER =  0.03, BLER =     1000/    5779 = 0.173040
SNR =  4.50, rawBER =  0.03, BLER =     1000/   10099 = 0.099020
