SNR =  2.00, rawBER =  0.08, BLER =     1000/    1018 = 0.982318
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1026 = 0.974659
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1065 = 0.938967
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1105 = 0.904977
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1198 = 0.834725
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1345 = 0.743494
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1607 = 0.622278
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2096 = 0.477099
SNR =  4.00, rawBER =  0.04, BLER =     1000/    2876 = 0.347705
SNR =  4.25, rawBER =  0.03, BLER =     1000/    4369 = 0.228885
SNR =  4.50, rawBER =  0.03, BLER =     1000/    7748 = 0.129066
