SNR =  2.00, rawBER =  0.05, BLER =     1000/    2100 = 0.476190
SNR =  2.25, rawBER =  0.05, BLER =     1000/    2802 = 0.356888
SNR =  2.50, rawBER =  0.04, BLER =     1000/    3920 = 0.255102
SNR =  2.75, rawBER =  0.04, BLER =     1000/    5891 = 0.169750
SNR =  3.00, rawBER =  0.03, BLER =     1000/    9326 = 0.107227
SNR =  3.25, rawBER =  0.03, BLER =     1000/   16557 = 0.060397
SNR =  3.50, rawBER =  0.03, BLER =     1000/   31755 = 0.031491
SNR =  3.75, rawBER =  0.02, BLER =     1000/   65253 = 0.015325
SNR =  4.00, rawBER =  0.02, BLER =     1000/  157028 = 0.006368
SNR =  4.25, rawBER =  0.02, BLER =     1000/  401693 = 0.002489
SNR =  4.50, rawBER =  0.02, BLER =      943/ 1086705 = 0.000868


