eval_t,snr,static_m,samples,errors,mean_m,bler
64,2.0,8,7116.0,1000.0,8.0,0.140528
64,2.25,5,9305.0,1000.0,5.0,0.107469
64,2.5,3,12252.0,1000.0,3.0,0.0816193
64,2.75,2,16786.0,1000.0,2.0,0.0595735
64,3.0,2,29830.0,1000.0,2.0,0.0335233
64,3.5,1,69574.0,1000.0,1.0,0.0143732
64,4.0,1,100000.0,258.0,1.0,0.00258
64,4.5,1,100000.0,28.0,1.0,0.00028
