SNR =  2.00, rawBER =  0.05, BLER =     1000/    1721 = 0.581058
SNR =  2.25, rawBER =  0.05, BLER =     1000/    2138 = 0.467727
SNR =  2.50, rawBER =  0.04, BLER =     1000/    2800 = 0.357143
SNR =  2.75, rawBER =  0.04, BLER =     1000/    3793 = 0.263644
SNR =  3.00, rawBER =  0.03, BLER =     1000/    5403 = 0.185082
SNR =  3.25, rawBER =  0.03, BLER =     1000/    8420 = 0.118765
SNR =  3.50, rawBER =  0.03, BLER =     1000/   14007 = 0.071393
SNR =  3.75, rawBER =  0.02, BLER =     1000/   24413 = 0.040962
SNR =  4.00, rawBER =  0.02, BLER =     1000/   48069 = 0.020803
SNR =  4.25, rawBER =  0.02, BLER =     1000/   99951 = 0.010005
SNR =  4.50, rawBER =  0.02, BLER =     1000/  221144 = 0.004522
