64 64
60 11 38 25 48 16 61 53 24 36 55 35 21 62 17 46 57 51 3 12 18 50 22 10 20 45 6 1 34 37 28 32 49 54 29 42 26 9 7 27 63 39 41 40 33 47 44 23 13 43 2 30 19 15 52 5 31 8 56 14 58 59 0 4
11 6 20 55 7 49 15 54 28 35 48 47 9 13 51 61 10 31 42 58 0 60 46 37 18 8 63 27 25 2 5 57 52 17 43 16 39 26 56 44 62 32 40 33 30 1 23 29 12 36 21 3 4 24 41 19 38 34 14 45 50 59 53 22
44 63 56 45 54 37 11 8 47 20 23 39 25 19 24 5 17 46 31 1 28 30 7 41 60 35 27 50 49 59 14 2 3 34 62 6 36 57 52 4 15 29 55 53 40 48 61 18 42 21 43 12 0 16 51 33 58 38 22 13 9 26 32 10
40 11 16 25 19 51 35 49 21 36 15 44 20 57 1 14 13 38 42 17 27 39 60 8 24 0 26 12 3 47 37 29 56 54 31 34 23 18 46 9 45 5 55 22 10 28 61 6 62 59 30 52 58 41 2 50 32 33 53 7 48 4 63 43
37 32 46 18 33 12 41 17 54 61 11 10 35 39 14 24 36 57 5 21 0 23 9 63 44 34 26 53 51 28 31 20 15 43 6 42 2 52 19 7 25 58 3 59 56 27 49 55 38 62 47 29 30 50 4 45 1 60 40 8 13 22 16 48
47 7 36 50 63 18 61 23 38 32 41 26 30 58 25 42 53 56 16 28 52 43 12 22 62 51 29 27 17 1 35 8 5 21 13 20 6 45 3 49 37 24 59 34 2 46 48 4 9 15 57 31 39 0 40 33 60 19 14 10 55 54 11 44
35 42 32 24 51 49 26 29 18 13 41 4 40 63 50 17 5 23 56 1 57 54 25 47 53 36 60 45 27 28 48 2 43 62 58 38 6 11 20 14 46 30 44 16 31 10 39 15 52 59 9 8 33 37 12 22 34 55 3 19 0 21 7 61
7 17 10 51 43 54 23 12 29 62 41 3 5 0 21 35 26 63 46 45 9 56 61 22 60 20 55 11 47 42 1 52 19 37 49 50 57 33 53 40 25 15 18 24 6 14 48 58 8 34 2 31 27 4 13 28 32 30 16 44 38 59 39 36
4 50 10 9 19 37 25 26 57 22 29 59 17 12 27 38 52 15 13 63 8 21 41 2 44 3 35 0 39 11 56 18 61 45 36 32 49 55 33 23 16 5 14 60 34 31 7 43 46 62 48 42 47 28 40 6 54 24 51 53 30 1 20 58
46 0 39 32 59 18 13 9 54 53 10 43 6 35 49 62 17 60 22 37 31 40 25 29 57 24 41 52 55 15 27 51 42 11 21 61 50 28 26 16 63 34 7 4 20 12 19 5 44 2 48 36 23 58 33 1 45 47 3 8 14 56 30 38
