SNR =  2.00, rawBER =  0.08, BLER =     1000/    1026 = 0.974659
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1057 = 0.946074
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1097 = 0.911577
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1198 = 0.834725
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1333 = 0.750188
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1575 = 0.634921
SNR =  3.50, rawBER =  0.05, BLER =     1000/    2023 = 0.494315
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2835 = 0.352734
SNR =  4.00, rawBER =  0.04, BLER =     1000/    4237 = 0.236016
SNR =  4.25, rawBER =  0.03, BLER =     1000/    7215 = 0.138600
SNR =  4.50, rawBER =  0.03, BLER =     1000/   13997 = 0.071444
