snr,t,method,k,samples,errors,bler
2.25,27,static_pm_rank,8,4137.0,1848.0,0.446701
2.25,28,static_pm_rank,8,4297.0,1861.0,0.433093
2.5,19,static_pm_rank,8,6171.0,3184.0,0.515962
2.5,20,static_pm_rank,8,6206.0,3159.0,0.509024
2.5,27,static_pm_rank,8,5837.0,2106.0,0.360802
2.5,28,static_pm_rank,8,5836.0,2047.0,0.350754
2.75,19,static_pm_rank,8,9096.0,3836.0,0.421724
2.75,20,static_pm_rank,8,9009.0,3821.0,0.424131
2.75,27,static_pm_rank,8,8838.0,2286.0,0.258656
2.75,28,static_pm_rank,8,9268.0,2407.0,0.259711
3.0,19,static_pm_rank,8,14295.0,4854.0,0.339559
3.0,20,static_pm_rank,8,14204.0,4848.0,0.341312
3.0,27,static_pm_rank,8,13887.0,2576.0,0.185497
3.0,28,static_pm_rank,8,14744.0,2715.0,0.184143
3.5,19,static_pm_rank,8,42737.0,7971.0,0.186513
3.5,20,static_pm_rank,8,44653.0,8362.0,0.187266
3.5,27,static_pm_rank,8,40978.0,3329.0,0.0812387
3.5,28,static_pm_rank,8,44435.0,3486.0,0.0784517
3.75,19,static_pm_rank,8,85995.0,11002.0,0.127938
3.75,20,static_pm_rank,8,86767.0,10848.0,0.125024
3.75,27,static_pm_rank,8,79029.0,3676.0,0.0465146
3.75,28,static_pm_rank,8,82053.0,3842.0,0.0468234
4.0,19,static_pm_rank,8,186577.0,15293.0,0.0819662
4.0,20,static_pm_rank,8,167992.0,13782.0,0.0820396
4.0,27,static_pm_rank,8,172935.0,4490.0,0.0259635
4.0,28,static_pm_rank,8,190512.0,4722.0,0.0247858
4.25,19,static_pm_rank,8,204631.0,10136.0,0.0495331
4.25,20,static_pm_rank,8,197161.0,9833.0,0.0498729
4.25,27,static_pm_rank,8,204005.0,2528.0,0.0123919
4.25,28,static_pm_rank,8,205753.0,2569.0,0.0124858
4.5,19,static_pm_rank,8,471369.0,13188.0,0.0279781
4.5,20,static_pm_rank,8,508029.0,14400.0,0.0283448
4.5,27,static_pm_rank,8,504818.0,2933.0,0.00581001
4.5,28,static_pm_rank,8,518260.0,2932.0,0.00565739
