SNR =  2.00, rawBER =  0.08, BLER =     1000/    1004 = 0.996016
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1011 = 0.989120
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1024 = 0.976562
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1049 = 0.953289
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1081 = 0.925069
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1128 = 0.886525
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1226 = 0.815661
SNR =  3.75, rawBER =  0.04, BLER =     1000/    1395 = 0.716846
SNR =  4.00, rawBER =  0.04, BLER =     1000/    1668 = 0.599520
SNR =  4.25, rawBER =  0.03, BLER =     1000/    2104 = 0.475285
SNR =  4.50, rawBER =  0.03, BLER =     1000/    2762 = 0.362056
