SNR =  2.00, rawBER =  0.08, BLER =     1000/    1077 = 0.928505
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1127 = 0.887311
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1225 = 0.816327
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1374 = 0.727802
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1663 = 0.601323
SNR =  3.25, rawBER =  0.05, BLER =     1000/    2165 = 0.461894
SNR =  3.50, rawBER =  0.05, BLER =     1000/    3090 = 0.323625
SNR =  3.75, rawBER =  0.04, BLER =     1000/    4800 = 0.208333
SNR =  4.00, rawBER =  0.04, BLER =     1000/    8793 = 0.113727
SNR =  4.25, rawBER =  0.03, BLER =     1000/   17443 = 0.057330
SNR =  4.50, rawBER =  0.03, BLER =     1000/   38848 = 0.025741
