SNR =  2.00, rawBER =  0.08, BLER =     1000/    1057 = 0.946074
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1090 = 0.917431
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1178 = 0.848896
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1316 = 0.759878
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1534 = 0.651890
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1920 = 0.520833
SNR =  3.50, rawBER =  0.05, BLER =     1000/    2521 = 0.396668
SNR =  3.75, rawBER =  0.04, BLER =     1000/    3649 = 0.274048
SNR =  4.00, rawBER =  0.04, BLER =     1000/    5862 = 0.170590
SNR =  4.25, rawBER =  0.03, BLER =     1000/   11506 = 0.086911
SNR =  4.50, rawBER =  0.03, BLER =     1000/   23414 = 0.042709
