SNR =  2.00, rawBER =  0.05, BLER =     1000/    2232 = 0.448029
SNR =  2.25, rawBER =  0.05, BLER =     1000/    3033 = 0.329707
SNR =  2.50, rawBER =  0.04, BLER =     1000/    4417 = 0.226398
SNR =  2.75, rawBER =  0.04, BLER =     1000/    6676 = 0.149790
SNR =  3.00, rawBER =  0.03, BLER =     1000/   10354 = 0.096581
SNR =  3.25, rawBER =  0.03, BLER =     1000/   19531 = 0.051201
SNR =  3.50, rawBER =  0.03, BLER =     1000/   38699 = 0.025840
SNR =  3.75, rawBER =  0.02, BLER =     1000/   84925 = 0.011775
SNR =  4.00, rawBER =  0.02, BLER =     1000/  205737 = 0.004861
SNR =  4.25, rawBER =  0.02, BLER =     1000/  551628 = 0.001813
SNR =  4.50, rawBER =  0.02, BLER =     1000/ 1559394 = 0.000641
