SNR =  2.00, rawBER =  0.08, BLER =     1000/    1013 = 0.987167
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1030 = 0.970874
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1053 = 0.949668
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1099 = 0.909918
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1182 = 0.846024
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1281 = 0.780640
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1458 = 0.685871
SNR =  3.75, rawBER =  0.04, BLER =     1000/    1827 = 0.547345
SNR =  4.00, rawBER =  0.04, BLER =     1000/    2332 = 0.428816
SNR =  4.25, rawBER =  0.03, BLER =     1000/    3267 = 0.306091
SNR =  4.50, rawBER =  0.03, BLER =     1000/    5309 = 0.188359
